transaction_id,project_id,freelancer_id,client_id,project_value,platform_commission,transaction_date,payment_status
125,5819,549,741,2995.76,84.11,2025-05-15,Pending
126,3221,872,231,2594.19,49.12,2024-10-14,Pending
127,2182,2342,347,1941.12,260.09,2025-07-02,Pending
128,462,2749,948,1223.32,310.64,2024-07-29,Pending
129,4795,1240,610,693.51,124.83,2026-01-16,Pending
130,5272,2777,283,2950.96,35.23,2024-07-30,Pending
131,3239,1476,1037,1789.67,142.94,2025-08-01,Pending
132,1638,770,1127,1996.94,246.02,2025-02-05,Pending
133,2709,853,1137,3007.32,204.99,2025-06-12,Paid
134,3646,682,907,1781.32,26.54,2024-07-26,Pending
135,4894,300,539,635.13,265.82,2024-10-18,Paid
136,4784,2270,324,2351.54,312.88,2025-04-14,Pending
137,5648,9,931,2010.93,92.05,2025-01-05,Pending
138,531,102,999,888.49,46.58,2025-12-10,Paid
139,5432,890,1186,1884.41,111.99,2024-09-27,Paid
140,3958,1525,140,1735.25,202.38,2025-06-10,Pending
141,5723,2381,680,1931.00,308.37,2026-03-06,Pending
142,2208,1282,186,1801.35,135.60,2025-10-17,Pending
143,5970,2253,1060,2323.08,183.21,2025-04-21,Paid
144,4058,898,426,2291.92,49.61,2024-12-21,Paid
145,220,752,1002,2555.66,192.39,2025-06-07,Pending
146,4053,115,1172,2908.92,113.97,2024-08-10,Paid
147,4466,2847,917,508.50,314.66,2025-10-13,Pending
148,3646,957,353,2940.44,142.39,2025-01-04,Paid
149,727,2899,938,713.12,217.23,2025-06-15,Pending
150,1091,1605,1041,468.33,215.43,2025-10-04,Paid
151,227,2499,817,1405.37,278.82,2026-02-16,Paid
152,4683,2292,919,821.97,210.30,2025-10-20,Paid
153,5451,1863,295,1484.05,43.70,2024-10-10,Pending
154,2684,1094,838,2002.49,204.34,2024-08-06,Pending
155,525,1947,216,355.47,257.71,2024-11-09,Pending
156,5278,2627,365,2555.24,141.21,2025-10-15,Paid
157,5460,2081,478,2374.45,246.21,2024-09-13,Pending
158,2506,2785,1042,2176.18,142.73,2025-10-14,Pending
159,2067,1968,419,733.53,142.51,2024-08-07,Pending
160,5098,1967,381,2119.96,270.71,2025-04-14,Paid
161,3997,1523,160,2350.12,309.15,2025-05-23,Pending
162,5255,2037,595,903.88,144.10,2025-09-09,Pending
163,553,1157,1188,2872.33,47.82,2024-10-04,Pending
164,3271,936,520,1096.77,291.64,2025-03-09,Pending
165,2449,2923,817,2709.66,118.82,2024-09-29,Pending
166,1550,2931,941,549.50,132.72,2024-09-09,Pending
167,2482,1628,313,1086.29,157.26,2025-07-10,Paid
168,2311,360,452,2847.90,263.31,2026-01-09,Pending
169,4282,1518,1171,1441.43,125.12,2026-01-09,Pending
170,2944,1123,2,2240.50,169.50,2025-11-14,Paid
171,4409,889,466,1953.75,121.93,2025-04-14,Pending
172,2862,1836,306,2751.16,154.67,2025-11-19,Pending
173,5218,629,1045,1324.74,140.95,2025-09-07,Paid
174,3144,1438,259,1653.28,127.26,2025-08-19,Paid
175,3607,1066,1093,1925.16,130.40,2024-10-09,Paid
176,3283,1211,1052,2220.72,118.85,2025-04-28,Pending
177,3106,1279,1182,2827.28,60.44,2025-08-19,Paid
178,4807,1472,968,2156.44,217.84,2025-07-18,Paid
179,795,2067,573,1839.90,241.24,2025-10-09,Paid
180,99,988,781,2312.72,69.35,2025-06-04,Paid
181,4716,2665,113,2329.14,83.00,2024-11-28,Pending
182,4109,1428,146,2518.45,271.80,2025-04-18,Pending
183,2423,1290,751,1829.04,44.40,2025-08-18,Pending
184,4838,2523,448,1097.71,187.55,2025-04-24,Paid
185,1680,834,138,1092.74,316.55,2024-08-15,Pending
186,1278,2999,983,2039.49,313.97,2025-01-18,Paid
187,2943,414,923,2619.48,26.41,2026-01-23,Pending
188,5435,1018,319,1066.95,200.68,2024-10-03,Paid
189,3619,358,853,1514.44,86.70,2025-03-24,Pending
190,280,1003,418,1036.97,179.35,2024-07-23,Pending
191,1854,2055,712,631.49,310.90,2025-07-09,Pending
192,1172,1053,1135,632.72,261.48,2025-12-31,Pending
193,4626,1639,1015,2444.29,192.18,2024-12-23,Pending
194,4364,2233,335,1944.10,23.83,2025-05-28,Paid
195,1127,2796,537,1384.13,122.61,2025-09-19,Paid
196,5967,621,609,1060.72,37.78,2024-11-17,Paid
197,4753,2768,698,1360.07,289.68,2025-10-19,Pending
198,2315,871,863,1421.97,317.46,2025-06-14,Pending
199,3774,834,144,193.99,117.26,2025-10-25,Paid
200,5854,1197,590,2425.40,93.13,2025-11-18,Pending
201,1288,1025,829,2671.71,300.75,2025-10-25,Pending
202,2077,1899,495,1835.68,83.41,2025-01-05,Pending
203,4878,606,556,956.02,246.38,2024-10-21,Pending
204,2646,2931,263,702.89,221.94,2025-10-20,Paid
205,2714,2530,1031,2213.77,176.09,2025-08-03,Paid
206,1937,953,1044,2743.32,253.08,2025-02-24,Pending
207,1592,168,627,2480.45,165.64,2025-01-16,Pending
208,3834,458,288,179.72,228.37,2025-02-14,Pending
209,4187,2999,661,2403.54,104.70,2024-09-01,Pending
210,4914,1110,241,2743.51,235.65,2025-04-17,Paid
211,598,2001,646,800.11,58.32,2025-08-28,Pending
212,1810,673,35,943.26,43.80,2025-04-17,Paid
213,3707,2385,1092,2712.03,157.48,2025-05-30,Paid
214,4236,50,570,1045.52,52.13,2026-03-02,Paid
215,2386,74,406,2598.53,318.26,2024-07-29,Paid
216,5753,514,176,457.61,44.19,2025-12-30,Paid
217,1921,2609,655,1073.09,182.79,2024-08-13,Pending
218,3438,1319,1149,706.79,220.63,2025-12-04,Pending
219,3939,2850,725,840.28,266.84,2025-01-02,Paid
220,3483,2624,757,3043.17,102.14,2026-02-28,Paid
221,5542,639,249,297.69,56.82,2025-09-03,Pending
222,1355,1974,1038,336.90,262.27,2025-09-17,Paid
223,3690,2693,732,2484.90,96.75,2024-12-26,Paid
224,2637,2718,557,1633.80,272.17,2025-08-13,Paid
225,3737,1356,570,2802.99,74.39,2025-11-12,Pending
226,1828,2683,257,767.75,227.83,2025-03-17,Paid
227,3276,840,785,2073.22,248.39,2025-06-23,Pending
228,1482,2318,1193,602.86,92.38,2025-08-09,Paid
229,4917,701,1086,2182.59,145.61,2024-09-12,Paid
230,4437,2730,576,3086.80,96.04,2025-05-27,Pending
231,5619,1340,616,937.86,247.87,2025-08-04,Paid
232,2867,1290,780,568.84,163.08,2025-04-23,Paid
233,3708,627,753,1055.19,170.45,2026-01-16,Paid
234,3494,1511,154,175.75,92.89,2025-09-15,Paid
235,359,1695,401,385.72,141.74,2025-01-22,Paid
236,4969,1705,493,2428.71,48.65,2024-07-26,Pending
237,3730,2102,549,3044.34,75.48,2025-02-19,Paid
238,5853,1117,1179,1707.18,70.02,2025-08-21,Pending
239,993,2259,985,924.46,66.52,2026-02-16,Paid
240,3708,2427,1097,1114.75,129.79,2025-07-25,Pending
241,2380,938,933,2049.40,23.79,2025-06-01,Pending
242,2542,1454,789,3012.48,192.61,2025-11-16,Pending
243,4717,2275,527,1303.82,99.26,2025-06-18,Pending
244,1664,71,1011,2216.23,271.15,2025-10-01,Pending
245,4118,938,787,1005.33,262.25,2025-01-31,Pending
246,2427,2079,412,1219.10,60.97,2024-07-27,Paid
247,2352,673,569,561.52,37.47,2025-10-17,Paid
248,1236,2863,22,2007.17,246.32,2025-06-22,Paid
249,591,3000,239,1596.83,122.56,2024-12-24,Pending
250,3932,1977,402,1115.91,269.20,2024-09-01,Paid
251,1269,2677,154,337.59,23.28,2025-02-03,Paid
252,59,1399,139,1954.62,227.26,2024-08-22,Paid
253,4424,283,814,2713.82,297.67,2025-03-07,Paid
254,872,1306,949,1673.41,64.40,2025-06-25,Paid
255,5251,2197,89,2785.07,245.15,2025-02-21,Paid
256,5494,1221,39,2925.06,172.89,2024-11-13,Pending
257,5567,814,167,2501.23,86.75,2026-03-10,Paid
258,189,2707,621,2158.22,279.50,2025-03-28,Paid
259,2819,1365,1003,436.83,176.91,2024-08-19,Pending
260,1649,191,371,218.31,268.80,2025-05-30,Pending
261,5246,2426,860,1112.42,189.82,2025-04-15,Paid
262,2464,2188,503,2557.64,72.58,2025-12-26,Paid
263,3067,2933,1199,2402.16,182.53,2025-08-01,Pending
264,1900,1100,164,1189.26,172.60,2025-08-04,Pending
265,3696,2871,618,2629.02,251.74,2024-10-05,Pending
266,1768,873,154,225.82,243.08,2025-01-13,Paid
267,36,1702,514,2434.10,170.54,2024-12-12,Pending
268,3800,459,89,1286.63,33.22,2026-02-24,Paid
269,3042,774,2,2664.72,92.67,2025-10-31,Pending
270,1509,2383,47,628.38,319.63,2026-02-28,Paid
271,5099,757,255,1491.72,140.33,2025-07-09,Paid
272,3609,2591,1029,179.98,31.16,2026-03-10,Paid
273,5396,1197,22,1379.00,313.18,2025-10-25,Pending
274,3093,952,1139,2188.75,105.54,2025-05-15,Pending
275,4083,840,60,390.14,151.39,2025-04-07,Paid
276,5450,926,922,1115.64,314.35,2025-04-13,Pending
277,2042,545,163,180.08,55.49,2025-08-31,Pending
278,5991,2714,1161,771.94,224.64,2026-02-09,Paid
279,2290,478,49,2695.42,33.67,2025-10-10,Paid
280,1275,2187,1068,1366.12,110.82,2024-11-12,Pending
281,4034,2608,262,2223.20,127.18,2026-03-03,Paid
282,46,379,1177,2553.24,288.12,2025-10-06,Pending
283,1866,2119,974,230.44,232.40,2025-01-02,Pending
284,5420,720,27,2395.08,137.72,2024-09-03,Pending
285,4971,2784,51,2110.39,137.29,2026-03-06,Pending
286,5667,1720,958,221.50,220.24,2025-06-15,Paid
287,4276,1632,718,1187.59,249.45,2025-05-20,Paid
288,1113,1887,138,2486.42,182.67,2026-01-08,Paid
289,5177,2801,91,503.51,94.15,2026-02-03,Pending
290,5396,1869,977,2427.51,241.37,2026-01-30,Paid
291,3798,239,822,1193.29,241.29,2024-09-30,Paid
292,2141,2992,652,2985.73,256.60,2026-02-16,Pending
293,3652,1161,960,2083.62,130.36,2024-09-29,Paid
294,3345,2677,871,1056.67,221.71,2026-03-10,Pending
295,220,1844,318,1413.34,29.80,2025-02-07,Paid
296,1789,1655,864,2894.91,319.77,2025-08-03,Pending
297,5319,262,912,355.04,45.95,2025-10-26,Pending
298,3855,2530,499,1692.70,292.24,2025-03-21,Pending
299,5785,88,284,391.03,94.17,2024-09-27,Paid
300,4179,1466,176,399.21,240.45,2025-08-16,Pending
301,5922,2650,892,1074.71,205.92,2024-12-16,Paid
302,2224,2971,338,656.52,266.95,2024-12-04,Pending
303,4211,1935,337,1384.06,249.77,2025-11-29,Paid
304,2637,613,654,1265.73,242.47,2025-04-14,Paid
305,5928,1616,165,2571.25,42.66,2025-06-08,Paid
306,2336,1215,1045,1385.03,209.24,2025-08-14,Pending
307,4169,1396,823,654.03,290.30,2026-02-27,Paid
308,1055,2478,1189,2981.72,227.96,2025-11-06,Pending
309,5177,2694,1145,2916.28,53.32,2025-01-15,Pending
310,4038,2225,732,2315.46,261.57,2025-05-03,Pending
311,473,1666,129,991.80,295.78,2026-01-27,Paid
312,1906,1440,556,2016.33,67.41,2024-09-15,Paid
313,1326,534,320,1861.95,173.08,2024-09-21,Pending
314,1057,2467,306,2015.30,42.52,2024-10-03,Pending
315,2692,2168,1001,884.51,151.31,2024-09-06,Pending
316,475,2882,796,2438.42,283.31,2025-03-28,Paid
317,5007,1981,784,1605.00,188.57,2024-12-27,Paid
318,4946,2493,342,1668.05,263.04,2025-12-18,Paid
319,1181,410,385,1169.18,188.99,2025-08-22,Paid
320,4785,997,389,254.22,306.70,2024-09-12,Paid
321,4425,2997,34,2092.41,158.03,2024-10-11,Pending
322,1726,1387,904,2609.17,300.05,2026-03-02,Pending
323,920,578,197,1462.52,235.89,2024-11-03,Pending
324,3707,381,300,605.41,217.04,2024-10-31,Paid
325,1209,1211,121,1028.51,165.65,2026-02-10,Paid
326,3187,507,846,720.46,102.46,2025-04-12,Paid
327,1812,598,772,166.56,71.43,2026-02-28,Paid
328,4396,1477,997,1294.49,243.70,2025-07-20,Pending
329,404,1310,823,2289.80,221.23,2026-01-01,Pending
330,4340,2928,805,2830.68,310.53,2024-08-29,Paid
331,2907,2634,284,803.07,86.53,2026-01-14,Pending
332,3961,2858,55,3003.75,290.11,2024-12-02,Paid
333,197,1179,461,2636.94,198.06,2025-11-10,Pending
334,3286,1820,797,1044.82,20.32,2025-04-03,Paid
335,1002,694,835,501.37,308.31,2025-05-30,Paid
336,2946,1745,105,1927.97,297.10,2026-02-06,Pending
337,4485,2516,576,2474.90,123.87,2025-06-05,Pending
338,1155,922,1066,2883.98,46.63,2025-04-11,Paid
339,5409,179,600,2618.46,196.99,2024-12-30,Pending
340,2015,239,313,376.93,304.58,2025-02-05,Pending
341,1303,317,875,2772.67,183.64,2025-04-04,Pending
342,1255,2160,942,1455.66,184.13,2025-04-16,Paid
343,247,1285,702,482.31,44.92,2026-03-01,Pending
344,2920,46,510,1841.82,107.62,2024-10-31,Paid
345,2395,1406,794,2418.77,72.23,2024-10-16,Pending
346,1994,2751,1152,977.55,131.79,2025-11-12,Paid
347,3824,1920,1197,2330.58,310.90,2025-06-04,Pending
348,3488,2637,1075,2788.29,70.99,2025-05-21,Paid
349,1337,617,239,341.82,45.42,2025-06-10,Pending
350,2564,2830,1020,1941.88,134.80,2025-02-20,Paid
351,4292,381,812,2189.20,114.74,2024-08-16,Paid
352,5469,154,171,102.23,226.32,2025-05-11,Paid
353,5843,1698,662,2070.16,251.22,2025-07-01,Pending
354,5525,2998,629,2951.67,310.87,2025-09-17,Pending
355,1284,2564,24,1194.81,50.22,2025-06-15,Paid
356,3606,1971,948,1371.34,290.39,2024-10-31,Paid
357,5236,1961,1077,659.08,190.83,2025-08-10,Paid
358,1653,1007,226,1047.59,79.14,2025-01-18,Paid
359,2262,211,1112,1781.80,61.70,2025-02-20,Paid
360,3668,2348,1008,2064.78,191.90,2024-09-14,Pending
361,4744,361,705,1456.32,170.35,2024-09-11,Pending
362,2725,1815,606,3005.80,41.88,2025-05-21,Pending
363,3372,857,1003,611.49,154.26,2025-03-31,Paid
364,1274,1006,432,1648.10,156.06,2025-03-23,Pending
365,5205,527,948,622.11,166.33,2026-01-01,Paid
366,2098,2016,760,745.10,222.00,2025-04-09,Paid
367,5082,1644,1148,2112.89,126.32,2025-06-14,Pending
368,1250,2576,457,669.41,269.74,2024-09-30,Pending
369,1674,2683,568,2445.89,137.62,2025-04-14,Pending
370,5957,2715,691,966.53,158.25,2025-06-30,Paid
371,919,322,701,2041.95,120.01,2025-03-05,Pending
372,5154,1125,1103,2628.11,245.01,2025-08-07,Pending
373,3708,1899,1121,2422.50,101.73,2025-07-06,Paid
374,2555,442,914,3048.52,87.76,2025-03-09,Paid
375,1544,2773,499,757.33,133.59,2025-08-02,Pending
376,1964,128,780,1281.90,216.49,2025-08-01,Paid
377,631,1282,435,1079.02,202.98,2025-02-17,Paid
378,2399,828,537,2489.02,83.80,2025-03-04,Pending
379,3059,2895,524,733.90,276.29,2024-08-31,Paid
380,3132,1559,452,2113.86,57.42,2024-12-22,Pending
381,4040,2082,816,2604.40,220.38,2025-02-12,Pending
382,5983,1847,810,2185.11,41.11,2026-03-12,Pending
383,1515,2517,341,2998.90,281.43,2025-01-16,Pending
384,5132,312,1116,1477.47,185.86,2025-05-31,Pending
385,278,1467,1119,2626.11,26.41,2025-09-02,Pending
386,3802,1160,867,1485.41,319.24,2025-03-10,Paid
387,2017,75,207,1382.09,88.89,2024-11-28,Pending
388,5811,1012,248,1700.75,132.24,2025-03-04,Paid
389,5950,1077,929,2083.98,178.49,2025-01-18,Pending
390,434,2448,118,2158.01,259.85,2026-01-10,Pending
391,5524,237,430,402.58,165.89,2025-12-03,Paid
392,4747,109,553,2812.23,207.07,2025-10-10,Pending
393,4661,2433,677,786.07,199.23,2025-07-30,Paid
394,3003,957,920,2558.14,249.71,2026-01-23,Pending
395,2280,1425,1084,1125.25,141.64,2025-01-16,Paid
396,3451,1522,988,536.16,291.79,2026-01-22,Pending
397,4900,1813,37,420.42,203.46,2026-01-24,Paid
398,55,730,78,2150.15,140.69,2024-11-12,Pending
399,2119,76,90,2766.48,72.43,2026-01-03,Pending
400,1574,1648,878,570.57,183.46,2025-02-11,Pending
401,3966,1725,98,2557.86,221.85,2025-05-25,Paid
402,1338,639,121,2289.14,176.20,2026-01-19,Pending
403,825,2532,877,633.68,166.66,2024-12-05,Pending
404,521,2952,871,2131.98,175.24,2024-09-21,Pending
405,5544,2999,408,868.05,272.34,2025-06-01,Pending
406,1480,407,552,1053.98,276.34,2025-08-07,Pending
407,1539,1364,112,1217.56,231.39,2025-02-25,Pending
408,1566,2745,690,2644.40,302.71,2025-06-09,Paid
409,2093,2,476,2260.38,289.51,2024-12-07,Paid
410,1197,878,479,1952.31,82.68,2025-02-25,Pending
411,406,2261,44,733.50,22.73,2025-06-23,Pending
412,2769,1851,621,695.02,196.23,2024-08-08,Paid
413,4562,1437,511,338.03,226.83,2025-06-02,Pending
414,4554,265,1107,2165.25,183.54,2024-08-16,Pending
415,5559,1536,1196,2239.66,112.72,2025-01-12,Paid
416,1334,1777,87,155.43,286.80,2024-11-18,Pending
417,2167,559,279,520.16,294.58,2025-08-15,Pending
418,5625,1424,948,134.37,253.12,2024-07-22,Paid
419,1928,1832,267,1870.01,297.63,2025-03-16,Pending
420,2394,581,327,2457.91,187.49,2025-01-08,Pending
421,5258,1518,380,2514.81,211.01,2025-06-19,Paid
422,2494,2958,1172,2244.83,207.29,2026-03-03,Paid
423,1498,1583,646,1359.93,251.51,2025-04-05,Pending
424,2716,728,428,353.79,54.67,2025-07-27,Pending
425,2574,2740,1192,1853.85,150.88,2025-04-04,Pending
426,4134,2637,1067,2641.70,116.76,2025-11-01,Paid
427,2140,685,643,1061.63,118.20,2024-12-09,Pending
428,2613,1836,580,120.62,56.99,2026-02-08,Pending
429,5263,1189,243,809.35,233.51,2025-03-24,Pending
430,3972,863,99,579.63,22.22,2025-02-04,Paid
431,5299,2356,1021,848.21,244.96,2025-03-26,Pending
432,3230,396,595,2056.48,126.96,2025-09-24,Paid
433,3284,1800,252,2847.34,277.51,2024-11-14,Pending
434,5934,4,1152,711.27,237.50,2024-08-27,Paid
435,4677,379,59,1384.31,195.94,2024-09-17,Pending
436,4676,352,463,2781.33,85.15,2025-06-20,Pending
437,891,2149,573,234.46,274.78,2025-04-23,Paid
438,2162,158,643,1739.90,264.03,2025-01-08,Paid
439,1997,2868,684,1428.35,76.30,2025-11-03,Paid
440,127,1674,606,688.07,302.83,2025-04-03,Pending
441,566,2182,801,744.78,319.50,2025-01-24,Paid
442,1584,2149,443,108.45,243.12,2026-02-08,Pending
443,1046,768,312,119.65,242.57,2024-10-12,Paid
444,4361,2693,1177,1364.87,66.56,2024-08-04,Pending
445,5058,1733,418,1662.12,233.78,2024-09-14,Pending
446,5054,774,903,1430.12,34.88,2025-12-20,Pending
447,1288,1238,1063,2046.62,270.39,2026-02-07,Pending
448,1597,652,842,1601.52,301.99,2024-08-10,Paid
449,4831,2391,693,242.20,140.90,2025-12-20,Paid
450,3204,1184,750,2473.91,132.45,2025-05-18,Paid
451,5293,908,61,104.64,314.45,2024-10-10,Paid
452,4785,1534,844,1168.80,274.54,2026-02-02,Pending
453,1995,2789,645,1638.51,93.65,2025-07-01,Pending
454,2835,1826,189,179.90,170.13,2025-02-04,Paid
455,4693,740,886,717.73,117.71,2025-08-22,Paid
456,3985,1336,693,1790.02,185.52,2024-10-06,Paid
457,290,2057,668,2971.33,58.07,2024-11-04,Paid
458,36,677,57,779.41,156.58,2024-10-25,Pending
459,3978,2971,208,1525.42,210.70,2025-03-03,Paid
460,3970,2799,174,196.54,241.03,2025-09-19,Pending
461,4110,2877,914,246.33,93.53,2024-12-17,Paid
462,2556,1651,595,818.52,50.92,2024-08-01,Pending
463,2799,1920,424,603.53,71.83,2026-01-03,Pending
464,3906,1282,309,1410.02,236.87,2026-02-07,Pending
465,1498,1678,827,257.23,54.22,2024-10-11,Pending
466,2851,526,225,554.95,217.04,2025-10-14,Pending
467,3088,1960,106,707.69,90.59,2024-09-27,Pending
468,770,1740,433,1495.34,253.57,2025-12-23,Paid
469,5769,784,765,454.86,295.74,2025-10-19,Pending
470,4626,2477,740,2596.59,315.80,2024-10-17,Pending
471,4621,1177,1119,1959.15,99.80,2025-04-27,Paid
