freelancer_id,country,region,primary_skill_category,experience_level,hourly_rate,join_date,subscription_type,rating,total_projects_completed
42,Singapore,Asia,Web Development,Intermediate,76.17,2025-01-11,Elite,4.2,43
43,Brazil,Asia,Web Development,Intermediate,94.44,2023-06-27,Elite,4.8,2
44,Singapore,Europe,Cloud,Beginner,61.57,2025-12-13,Free,4.6,2
45,USA,Asia,Marketing,Expert,83.32,2026-02-26,Pro,3.5,33
46,USA,Asia,UI/UX,Beginner,81.85,2023-11-19,Free,4.6,34
47,USA,Asia,Content,Expert,30.01,2024-08-18,Free,3.8,34
48,India,North America,Marketing,Beginner,34.77,2025-01-02,Pro,3.1,37
49,UK,Europe,Web Development,Expert,32.30,2023-07-26,Elite,3.6,30
50,UK,North America,Data & AI,Expert,35.97,2025-08-06,Pro,3.1,46
51,Singapore,North America,Content,Intermediate,91.24,2025-12-13,Pro,4.9,16
52,USA,Europe,UI/UX,Intermediate,48.40,2023-12-18,Elite,4.3,10
53,Canada,Asia,Marketing,Intermediate,42.22,2024-06-17,Pro,4.2,41
54,Canada,Europe,Marketing,Expert,59.29,2026-02-20,Free,4.9,30
55,Brazil,Europe,Marketing,Intermediate,49.53,2023-11-17,Free,4.0,1
56,Brazil,North America,Web Development,Intermediate,52.55,2025-05-12,Elite,4.1,12
57,Brazil,South America,Data & AI,Beginner,32.95,2024-04-20,Pro,3.4,32
58,USA,Europe,Web Development,Expert,90.41,2023-07-06,Pro,4.6,13
59,Singapore,Europe,Marketing,Intermediate,27.77,2025-10-12,Pro,4.8,40
60,India,Europe,Cloud,Beginner,22.88,2026-02-24,Free,3.7,38
61,India,South America,Marketing,Beginner,34.74,2025-06-06,Pro,3.6,22
62,Canada,North America,Content,Expert,91.11,2025-08-03,Elite,3.4,30
63,UK,Asia,Web Development,Expert,75.54,2024-09-05,Free,4.3,9
64,Brazil,North America,Web Development,Expert,87.43,2024-03-29,Free,4.5,46
65,India,Asia,UI/UX,Intermediate,62.75,2024-05-03,Free,4.0,8
66,UK,Europe,Content,Intermediate,20.16,2023-09-20,Elite,3.7,24
67,UK,North America,Marketing,Intermediate,69.86,2024-09-29,Elite,4.5,9
68,UK,North America,UI/UX,Beginner,58.12,2025-10-05,Pro,4.3,30
69,Australia,Asia,Web Development,Intermediate,92.51,2024-08-05,Free,4.4,41
70,Canada,Asia,Web Development,Intermediate,20.84,2025-10-18,Elite,4.3,11
71,UK,North America,Content,Beginner,44.91,2023-09-15,Pro,4.5,47
72,Australia,Europe,Marketing,Beginner,42.11,2024-04-18,Free,3.9,2
73,Brazil,Europe,Marketing,Beginner,34.00,2024-03-04,Free,4.1,9
74,Australia,Asia,UI/UX,Intermediate,27.33,2024-07-05,Free,3.9,3
75,UK,Asia,UI/UX,Intermediate,44.62,2026-03-10,Elite,3.0,17
76,Canada,Asia,Marketing,Expert,38.15,2025-10-05,Elite,3.2,46
77,Canada,North America,Cloud,Expert,26.91,2025-09-14,Pro,3.9,1
78,USA,South America,UI/UX,Intermediate,44.04,2024-06-03,Elite,3.3,11
79,Singapore,North America,UI/UX,Intermediate,37.41,2025-01-04,Pro,4.3,11
80,Canada,South America,Content,Expert,71.81,2023-10-06,Pro,3.8,41
81,India,Europe,Marketing,Intermediate,76.55,2024-06-14,Pro,4.3,13
82,UK,North America,Web Development,Beginner,84.07,2025-09-20,Pro,4.6,19
83,Australia,Europe,Marketing,Beginner,71.34,2024-02-08,Free,4.3,33
84,Germany,South America,Cloud,Intermediate,57.69,2023-10-24,Free,4.3,23
85,USA,South America,Web Development,Intermediate,78.37,2023-10-16,Pro,4.7,47
86,UK,Europe,UI/UX,Intermediate,31.07,2025-07-14,Elite,3.3,46
87,India,North America,Marketing,Expert,79.73,2024-01-05,Free,3.8,32
88,Brazil,Europe,Data & AI,Beginner,79.41,2024-04-20,Free,4.1,38
89,Canada,Europe,Cloud,Expert,86.21,2024-05-17,Elite,3.1,1
90,Canada,North America,Data & AI,Expert,92.63,2023-09-01,Free,3.8,33
91,UK,Asia,Data & AI,Expert,47.21,2025-04-03,Pro,4.2,44
92,Brazil,Asia,Data & AI,Beginner,75.39,2024-03-03,Elite,4.6,7
93,Australia,Asia,Content,Expert,23.19,2024-11-03,Elite,3.9,22
94,Singapore,Europe,UI/UX,Expert,68.29,2024-06-10,Pro,3.7,11
95,Brazil,Asia,Cloud,Expert,73.60,2025-02-09,Free,4.0,24
96,Australia,South America,Data & AI,Intermediate,50.83,2023-11-21,Elite,5.0,19
97,India,Europe,Marketing,Beginner,73.91,2024-12-29,Elite,3.5,45
98,India,North America,Web Development,Beginner,29.11,2023-11-23,Elite,3.8,33
99,Singapore,Europe,Marketing,Beginner,34.48,2025-05-14,Pro,4.3,37
100,Brazil,Europe,Data & AI,Expert,45.04,2025-10-16,Elite,3.6,12
101,USA,Asia,Content,Expert,62.69,2025-12-15,Free,3.1,6
102,USA,Europe,Web Development,Expert,32.19,2023-07-28,Free,5.0,27
103,Canada,South America,Cloud,Beginner,28.11,2025-07-28,Elite,3.9,12
104,UK,South America,Content,Intermediate,89.85,2026-02-28,Free,4.5,6
105,Australia,Asia,Marketing,Intermediate,94.31,2025-09-14,Free,3.9,47
106,Germany,South America,Marketing,Intermediate,93.15,2024-07-09,Free,4.1,14
107,Canada,South America,Data & AI,Beginner,40.36,2023-07-13,Elite,3.4,44
108,Brazil,North America,Data & AI,Expert,20.90,2026-01-20,Pro,4.6,16
109,Brazil,Asia,Data & AI,Expert,64.03,2025-12-31,Pro,3.2,35
110,USA,Asia,Cloud,Expert,83.20,2023-09-28,Free,4.9,48
111,Canada,Europe,Content,Intermediate,86.19,2023-09-18,Elite,4.3,31
112,Canada,North America,UI/UX,Expert,81.94,2024-10-18,Free,3.4,44
113,UK,Asia,Web Development,Expert,97.10,2024-04-15,Elite,3.7,50
114,USA,Asia,UI/UX,Expert,59.91,2024-07-19,Elite,4.8,28
115,Brazil,Europe,Marketing,Intermediate,41.16,2024-10-24,Pro,4.0,25
116,Singapore,Asia,Marketing,Beginner,40.02,2026-01-07,Free,4.2,11
117,USA,South America,Content,Expert,65.51,2025-02-13,Free,3.5,38
118,Singapore,Asia,Cloud,Expert,21.81,2024-05-22,Elite,4.2,49
119,Germany,Asia,UI/UX,Beginner,51.00,2025-07-30,Pro,3.5,16
120,India,South America,Web Development,Beginner,80.63,2025-04-10,Free,4.2,35
121,Canada,North America,Cloud,Intermediate,28.99,2023-10-01,Elite,3.7,26
122,Singapore,South America,UI/UX,Expert,46.38,2024-03-15,Pro,4.8,20
123,India,Asia,Content,Expert,28.76,2024-02-02,Free,3.3,21
124,Australia,South America,Content,Beginner,25.85,2025-07-14,Free,3.9,21
125,Brazil,South America,UI/UX,Beginner,33.79,2025-03-23,Free,4.9,14
126,Germany,South America,UI/UX,Intermediate,80.38,2025-11-01,Elite,3.5,20
127,Canada,Asia,Data & AI,Expert,60.65,2023-12-10,Free,3.7,42
128,Australia,Europe,Web Development,Beginner,93.20,2025-11-28,Elite,4.8,19
129,India,Asia,Cloud,Beginner,24.02,2026-01-17,Free,4.6,17
130,India,South America,Data & AI,Beginner,20.64,2024-01-25,Free,3.6,16
131,USA,South America,Data & AI,Intermediate,57.84,2023-06-20,Free,4.4,23
132,Brazil,Asia,Web Development,Intermediate,95.09,2025-03-13,Elite,4.0,18
133,Germany,Europe,Marketing,Expert,80.27,2024-10-31,Elite,3.1,18
134,Canada,Europe,Content,Intermediate,85.08,2025-12-19,Free,3.6,19
135,Canada,Europe,Data & AI,Intermediate,99.59,2024-07-18,Elite,3.9,18
136,Canada,North America,Web Development,Intermediate,74.10,2024-10-30,Pro,4.2,17
137,Canada,Asia,Content,Intermediate,73.70,2025-10-29,Elite,4.5,21
138,Singapore,Europe,Content,Expert,56.06,2023-07-09,Free,3.4,35
139,UK,South America,Content,Intermediate,75.02,2024-07-30,Elite,4.9,10
140,UK,Asia,Web Development,Beginner,55.16,2024-09-11,Elite,3.8,11
141,Germany,Europe,Content,Beginner,28.69,2024-12-18,Elite,3.6,49
142,UK,North America,Web Development,Beginner,98.98,2024-08-02,Elite,3.6,27
143,Singapore,Asia,Data & AI,Intermediate,29.28,2025-07-09,Pro,3.2,48
144,Brazil,North America,Marketing,Intermediate,51.68,2024-07-13,Free,3.0,19
145,Singapore,North America,Web Development,Beginner,22.87,2024-01-24,Pro,4.2,49
146,Canada,North America,Marketing,Expert,55.09,2025-09-17,Free,4.3,21
147,India,South America,Marketing,Beginner,66.20,2024-11-29,Elite,3.4,21
148,Germany,North America,Marketing,Expert,24.50,2023-09-09,Pro,4.8,37
149,India,North America,Data & AI,Beginner,85.13,2025-06-05,Free,3.8,24
150,Germany,Asia,Marketing,Beginner,60.97,2025-04-16,Pro,4.2,9
151,Brazil,South America,Content,Intermediate,87.42,2023-12-24,Pro,4.6,34
152,Germany,Europe,Marketing,Beginner,80.64,2025-10-29,Pro,3.8,37
153,UK,South America,Content,Expert,52.39,2024-03-10,Elite,4.8,40
154,USA,North America,Data & AI,Intermediate,79.76,2026-02-03,Free,4.9,7
155,Germany,Asia,Marketing,Expert,53.96,2024-07-08,Pro,3.5,22
156,Singapore,South America,Content,Intermediate,92.23,2024-11-23,Free,3.4,45
157,Brazil,North America,Content,Expert,90.59,2025-07-21,Elite,4.3,14
158,Germany,North America,Data & AI,Beginner,68.28,2026-01-12,Free,3.9,5
159,Brazil,South America,Content,Beginner,58.37,2024-07-26,Free,3.1,23
160,Singapore,South America,Cloud,Beginner,94.91,2026-02-17,Free,3.4,9
161,UK,Europe,Web Development,Beginner,70.17,2024-12-26,Pro,3.8,42
162,UK,Europe,Content,Intermediate,70.39,2025-09-20,Elite,3.0,41
163,Canada,South America,Data & AI,Intermediate,73.23,2023-08-13,Free,3.4,36
164,Brazil,South America,Data & AI,Expert,74.77,2024-03-05,Elite,4.8,40
165,Brazil,Europe,Data & AI,Intermediate,34.79,2025-12-31,Elite,4.2,43
166,Australia,South America,Marketing,Beginner,43.03,2025-07-22,Elite,3.9,28
167,Germany,Asia,Marketing,Beginner,86.55,2025-11-27,Elite,3.8,15
168,UK,South America,Data & AI,Expert,85.05,2024-04-20,Elite,4.2,12
169,India,North America,Content,Expert,23.02,2024-01-05,Free,4.8,30
170,Canada,Asia,Content,Beginner,62.43,2024-02-09,Free,4.9,5
171,UK,North America,Marketing,Beginner,93.02,2024-08-13,Pro,3.6,34
172,USA,Europe,Marketing,Expert,43.33,2025-07-13,Elite,4.3,49
173,India,Asia,Data & AI,Intermediate,84.69,2023-12-27,Pro,4.8,46
174,Germany,Asia,Data & AI,Beginner,53.50,2024-11-02,Elite,4.0,27
175,USA,Europe,Cloud,Intermediate,95.55,2024-07-10,Free,3.9,25
176,India,South America,Content,Beginner,91.12,2025-10-11,Pro,3.3,28
177,USA,South America,Data & AI,Beginner,89.25,2025-03-19,Elite,4.7,6
178,India,South America,Web Development,Intermediate,70.90,2024-11-29,Elite,4.0,28
179,India,Europe,Marketing,Beginner,71.45,2025-07-27,Elite,4.5,12
180,Germany,Europe,UI/UX,Expert,79.78,2024-02-13,Elite,3.4,39
181,UK,South America,Web Development,Intermediate,20.74,2024-06-22,Free,4.6,27
182,USA,South America,UI/UX,Beginner,35.74,2024-08-15,Elite,3.4,30
183,Singapore,South America,Data & AI,Expert,96.32,2024-06-17,Pro,4.5,39
184,Singapore,South America,Web Development,Intermediate,44.34,2025-08-16,Free,4.7,1
185,USA,North America,Data & AI,Beginner,77.74,2026-03-04,Free,4.4,7
186,Brazil,South America,Web Development,Beginner,91.12,2025-08-19,Elite,3.4,26
187,India,Asia,Data & AI,Expert,21.85,2026-03-13,Elite,4.1,27
188,USA,South America,Cloud,Beginner,29.47,2023-07-13,Elite,3.0,17
189,Australia,North America,Content,Expert,53.57,2024-04-14,Elite,3.6,22
190,Canada,Asia,Cloud,Beginner,74.62,2025-08-05,Free,4.1,12
191,USA,Europe,Marketing,Beginner,35.15,2024-06-29,Elite,3.8,18
192,India,North America,Data & AI,Beginner,46.31,2024-09-02,Free,4.6,19
193,UK,South America,Content,Intermediate,45.53,2024-08-28,Elite,4.7,40
194,India,Asia,Data & AI,Expert,26.94,2025-05-01,Pro,4.7,30
195,USA,Europe,Web Development,Intermediate,74.75,2026-02-05,Pro,4.4,14
196,UK,South America,Content,Expert,93.77,2025-04-13,Free,3.0,45
197,Germany,Asia,Marketing,Intermediate,38.04,2024-08-09,Free,3.2,1
198,USA,Asia,Cloud,Intermediate,65.03,2024-06-21,Elite,4.0,42
199,UK,Europe,Data & AI,Beginner,30.14,2023-09-03,Elite,4.2,27
200,Germany,Europe,Cloud,Intermediate,36.08,2024-11-15,Free,3.2,44
201,India,Europe,Data & AI,Intermediate,73.02,2023-12-26,Free,4.7,16
202,Canada,North America,Cloud,Expert,79.85,2024-07-09,Free,4.3,49
203,USA,Europe,Data & AI,Intermediate,29.31,2026-01-31,Elite,3.4,50
204,Canada,North America,UI/UX,Expert,26.22,2024-04-20,Free,4.6,13
205,Australia,North America,Web Development,Beginner,23.47,2023-11-18,Pro,3.3,16
206,Germany,Asia,Cloud,Expert,60.58,2024-11-19,Pro,3.7,4
207,Singapore,Europe,Web Development,Intermediate,97.89,2024-12-09,Free,5.0,33
208,Singapore,North America,UI/UX,Beginner,73.57,2023-10-02,Free,4.8,38
209,India,Asia,Content,Intermediate,33.24,2025-07-10,Free,4.2,3
210,UK,Asia,Content,Beginner,53.34,2024-06-24,Free,4.3,43
211,Canada,Asia,UI/UX,Beginner,74.45,2024-08-30,Free,4.7,49
212,Australia,South America,Content,Intermediate,52.48,2024-01-08,Elite,3.9,24
213,USA,Europe,Cloud,Intermediate,26.09,2025-11-18,Pro,4.1,10
214,Singapore,Europe,Marketing,Intermediate,69.02,2025-07-01,Free,3.6,45
215,Germany,South America,Data & AI,Beginner,70.04,2024-08-07,Free,4.7,27
216,Canada,Europe,Cloud,Intermediate,66.75,2024-04-07,Free,4.8,18
217,Canada,Europe,Marketing,Intermediate,30.44,2023-12-16,Elite,4.5,42
218,Australia,South America,Marketing,Beginner,67.89,2025-09-27,Elite,3.9,41
219,Germany,South America,UI/UX,Intermediate,56.36,2023-06-30,Free,4.5,21
220,Germany,North America,Data & AI,Intermediate,49.65,2024-03-21,Pro,3.7,14
221,USA,Europe,Data & AI,Beginner,41.19,2023-09-18,Elite,3.4,24
222,Singapore,South America,Data & AI,Beginner,62.10,2024-09-27,Elite,3.5,7
223,USA,Asia,UI/UX,Beginner,66.03,2023-09-25,Elite,4.3,21
224,Canada,Asia,Marketing,Beginner,45.41,2025-03-22,Elite,4.6,25
225,Germany,Asia,Content,Intermediate,86.84,2025-01-20,Pro,3.1,34
226,Australia,Europe,Data & AI,Intermediate,54.11,2023-07-23,Pro,4.6,22
227,USA,North America,Cloud,Intermediate,46.25,2023-09-08,Free,4.6,38
228,Germany,Europe,Cloud,Beginner,33.38,2024-10-23,Free,4.7,17
229,Australia,South America,Cloud,Beginner,84.94,2025-05-09,Elite,4.1,48
230,India,Europe,Content,Expert,73.56,2025-04-01,Free,3.6,16
231,Australia,Asia,Content,Beginner,68.60,2025-10-26,Pro,4.5,26
232,UK,Europe,Content,Intermediate,85.84,2023-10-07,Elite,4.9,35
233,Singapore,North America,Web Development,Intermediate,36.77,2025-08-04,Pro,4.1,16
234,Brazil,North America,Data & AI,Beginner,50.51,2024-07-17,Elite,4.8,25
235,Germany,North America,Content,Beginner,76.06,2025-01-26,Elite,3.3,44
236,Singapore,Asia,Cloud,Expert,92.39,2024-02-10,Pro,4.9,24
237,India,Europe,Content,Beginner,37.24,2025-01-21,Elite,4.4,43
238,Canada,South America,Web Development,Expert,45.84,2024-02-04,Free,4.1,22
239,India,South America,Web Development,Intermediate,96.07,2023-12-30,Free,4.5,23
240,UK,Europe,Content,Intermediate,63.66,2024-05-14,Elite,4.6,5
241,USA,Asia,Marketing,Beginner,48.34,2025-08-19,Elite,3.3,10
242,India,South America,Web Development,Beginner,29.27,2024-09-12,Free,3.4,0
243,Germany,South America,Marketing,Expert,52.97,2024-02-12,Free,3.2,16
244,Germany,Asia,Data & AI,Expert,34.63,2024-08-10,Elite,3.9,5
245,Germany,North America,UI/UX,Expert,41.44,2025-02-03,Elite,3.5,42
246,India,South America,UI/UX,Intermediate,43.12,2025-04-30,Elite,4.3,12
247,Australia,North America,UI/UX,Expert,20.96,2023-08-27,Elite,3.9,2
248,Australia,Asia,Cloud,Beginner,94.41,2025-06-17,Elite,3.4,21
249,Germany,South America,Cloud,Intermediate,59.58,2025-03-09,Pro,4.2,21
250,Australia,South America,Content,Expert,80.74,2023-09-23,Pro,3.8,15
251,Singapore,South America,UI/UX,Intermediate,69.53,2026-03-11,Free,4.3,14
252,India,Asia,Cloud,Intermediate,23.08,2026-01-10,Free,3.4,25
253,UK,Asia,Cloud,Expert,34.72,2023-09-03,Pro,3.0,31
254,Singapore,Europe,Data & AI,Intermediate,66.17,2024-08-01,Pro,3.1,3
255,USA,North America,Data & AI,Beginner,76.28,2025-10-16,Pro,3.5,22
256,UK,South America,Marketing,Beginner,31.88,2024-07-12,Elite,3.9,37
257,Singapore,South America,Web Development,Intermediate,60.22,2024-01-17,Elite,3.0,8
258,USA,Europe,UI/UX,Intermediate,46.02,2024-10-26,Pro,4.6,16
259,Brazil,Asia,Web Development,Expert,21.70,2024-11-27,Elite,3.0,12
260,Australia,Asia,Web Development,Intermediate,96.56,2025-07-21,Free,3.8,28
261,Singapore,North America,Data & AI,Expert,56.09,2023-12-08,Free,3.8,46
262,Australia,Europe,Content,Intermediate,69.10,2024-12-25,Free,4.9,14
263,Germany,North America,UI/UX,Beginner,82.34,2024-03-02,Free,3.7,13
264,UK,North America,UI/UX,Beginner,52.85,2024-09-20,Pro,3.0,41
265,Germany,South America,Web Development,Expert,64.24,2023-08-05,Elite,3.5,42
266,Canada,Asia,Web Development,Expert,50.90,2024-04-09,Free,3.9,9
267,Singapore,Asia,Cloud,Expert,40.31,2025-07-07,Pro,3.3,0
268,Singapore,South America,Marketing,Expert,61.42,2023-12-23,Elite,3.6,31
269,India,Europe,Marketing,Beginner,47.14,2024-08-18,Free,4.8,49
270,India,South America,Cloud,Intermediate,70.39,2025-04-20,Free,4.0,43
271,USA,North America,UI/UX,Intermediate,20.87,2025-08-21,Elite,4.6,31
272,India,Asia,Marketing,Expert,34.61,2025-02-02,Free,4.9,34
273,Germany,Asia,Content,Beginner,56.14,2024-02-02,Pro,4.0,36
274,Canada,South America,Content,Intermediate,48.67,2025-08-23,Elite,3.1,15
275,Singapore,Asia,Data & AI,Beginner,75.51,2026-01-02,Pro,3.7,39
276,UK,North America,Cloud,Expert,21.90,2025-01-12,Free,4.4,24
277,USA,North America,Cloud,Intermediate,94.99,2023-08-17,Elite,4.8,8
278,USA,Europe,Content,Expert,53.60,2026-02-22,Free,3.6,28
279,Germany,North America,Marketing,Expert,88.84,2023-12-23,Pro,3.2,27
280,UK,Europe,Content,Beginner,90.49,2024-02-06,Elite,4.6,15
281,Singapore,North America,Data & AI,Intermediate,46.72,2025-03-22,Free,3.3,19
282,Canada,North America,Web Development,Beginner,85.35,2026-01-15,Elite,4.6,18
283,Australia,Asia,Data & AI,Expert,80.11,2026-01-21,Free,3.0,1
284,UK,Asia,Cloud,Intermediate,70.42,2024-05-02,Elite,4.0,46
285,Canada,Europe,Data & AI,Beginner,23.90,2024-10-03,Pro,4.0,40
286,Germany,North America,UI/UX,Intermediate,83.00,2024-11-01,Free,4.9,47
287,USA,South America,Marketing,Beginner,98.43,2025-11-29,Free,3.6,10
288,Brazil,Europe,Web Development,Expert,43.77,2025-05-22,Pro,3.2,1
289,Canada,North America,Marketing,Beginner,61.15,2025-02-04,Free,4.9,37
290,Germany,South America,Data & AI,Expert,63.66,2024-05-15,Pro,3.1,7
291,Brazil,Asia,Cloud,Beginner,63.37,2024-08-28,Free,3.5,35
292,Canada,Asia,Marketing,Beginner,70.30,2025-05-16,Free,3.9,44
293,Germany,Europe,Data & AI,Expert,95.48,2023-12-26,Pro,4.0,7
294,Germany,South America,Marketing,Intermediate,69.83,2024-03-02,Elite,3.9,4
295,Germany,Asia,Cloud,Beginner,87.87,2025-02-25,Elite,3.1,11
296,Germany,North America,Content,Intermediate,84.32,2023-12-04,Pro,3.3,15
297,Canada,North America,Web Development,Intermediate,30.20,2025-12-26,Pro,4.7,27
298,Brazil,North America,Data & AI,Intermediate,91.46,2026-01-14,Pro,3.1,17
299,Canada,North America,Cloud,Expert,39.70,2025-10-29,Elite,3.4,17
300,UK,North America,Data & AI,Beginner,64.57,2024-11-07,Pro,3.9,19
301,USA,North America,Content,Intermediate,29.68,2025-07-21,Elite,3.3,8
302,Brazil,South America,Web Development,Beginner,68.15,2024-06-20,Elite,4.6,4
303,Germany,South America,Marketing,Beginner,63.43,2024-10-15,Pro,4.6,40
304,USA,North America,UI/UX,Expert,87.12,2025-11-17,Pro,4.1,2
305,UK,North America,Data & AI,Beginner,41.75,2025-05-10,Elite,4.9,33
306,UK,Asia,Cloud,Intermediate,33.72,2024-03-30,Free,3.5,49
307,India,Europe,Cloud,Intermediate,44.06,2023-09-29,Free,4.2,45
308,Australia,Europe,Cloud,Beginner,28.77,2026-02-21,Free,3.9,30
309,Germany,Europe,UI/UX,Beginner,32.80,2025-10-14,Elite,4.8,18
310,Germany,Europe,Cloud,Intermediate,82.29,2024-08-26,Elite,3.5,16
311,UK,North America,Cloud,Expert,40.53,2023-10-04,Pro,3.4,25
312,Singapore,Europe,Content,Intermediate,59.36,2025-04-13,Elite,4.6,33
313,Australia,North America,Content,Intermediate,45.51,2023-11-16,Elite,3.8,32
314,Australia,South America,Marketing,Beginner,36.81,2024-07-10,Pro,4.1,2
315,Brazil,North America,Marketing,Beginner,46.42,2023-10-08,Pro,3.1,17
316,UK,South America,UI/UX,Beginner,79.31,2023-09-26,Pro,4.1,44
317,UK,Europe,Cloud,Expert,25.07,2023-06-28,Pro,4.7,34
318,India,North America,Content,Beginner,38.52,2025-08-29,Free,3.1,19
319,Australia,Europe,Cloud,Intermediate,27.97,2025-10-14,Elite,3.4,27
320,Germany,Asia,Data & AI,Intermediate,30.17,2026-01-02,Free,4.9,4
321,Australia,Asia,Data & AI,Beginner,82.20,2024-02-09,Free,4.1,2
322,Singapore,Europe,UI/UX,Expert,80.87,2023-10-06,Elite,4.7,34
323,Canada,North America,Data & AI,Intermediate,35.20,2023-11-29,Elite,3.1,40
324,Germany,North America,Cloud,Expert,76.73,2025-08-10,Free,4.2,17
325,Singapore,Europe,Web Development,Intermediate,42.85,2025-06-10,Free,4.0,2
326,UK,Asia,Web Development,Beginner,49.94,2023-12-24,Elite,4.0,45
327,USA,Asia,UI/UX,Expert,38.87,2025-12-27,Pro,3.1,40
328,Germany,Asia,Web Development,Beginner,77.30,2025-07-07,Pro,4.4,38
329,Germany,North America,UI/UX,Beginner,21.35,2023-06-18,Pro,4.1,12
330,Singapore,South America,Content,Intermediate,46.83,2026-03-12,Pro,5.0,8
331,Canada,North America,UI/UX,Expert,93.39,2023-11-27,Pro,4.8,47
332,India,Europe,Data & AI,Beginner,45.64,2024-08-12,Elite,4.1,19
333,Germany,Asia,Cloud,Intermediate,68.76,2023-09-16,Pro,4.8,1
334,Australia,North America,Data & AI,Beginner,24.09,2025-09-17,Pro,3.3,41
335,Canada,Europe,Cloud,Expert,80.33,2024-05-20,Pro,4.8,3
336,Brazil,South America,Marketing,Intermediate,40.58,2026-02-20,Elite,3.3,2
337,Brazil,North America,Marketing,Expert,77.00,2024-05-01,Elite,5.0,17
338,UK,Europe,Marketing,Intermediate,69.41,2025-08-24,Elite,3.7,10
339,Canada,North America,Marketing,Beginner,20.88,2025-08-27,Elite,4.5,43
340,Singapore,Europe,Data & AI,Expert,47.37,2024-05-29,Free,3.2,40
341,Canada,Europe,UI/UX,Beginner,43.80,2025-10-19,Pro,4.0,31
342,Australia,Europe,UI/UX,Intermediate,78.36,2025-03-11,Free,3.4,27
343,Germany,North America,Web Development,Beginner,78.09,2026-01-29,Elite,3.6,47
344,Singapore,Asia,Data & AI,Beginner,63.29,2024-03-13,Free,3.1,20
345,Australia,South America,Web Development,Intermediate,99.75,2025-10-07,Pro,4.7,18
346,Singapore,Europe,Data & AI,Intermediate,73.11,2026-03-07,Elite,4.9,49
347,Germany,Europe,Content,Intermediate,82.38,2023-07-29,Pro,3.4,37
