project_id,client_id,skill_category,project_budget,project_post_date,project_status,num_bids,assigned_freelancer_id,completion_date
84,832,UI/UX,1884.66,2024-09-14,Open,1,2331,2025-12-02
85,954,Web Development,161.80,2025-03-20,Completed,8,2059,2025-11-19
86,1080,Data & AI,2668.12,2025-04-15,Cancelled,13,1109,2025-11-16
87,433,Data & AI,1741.94,2024-06-06,Cancelled,4,812,2024-10-06
88,496,Cloud,1829.46,2025-04-11,Cancelled,3,1010,2025-08-20
89,292,Web Development,2095.07,2025-01-01,Cancelled,7,1805,2025-09-19
90,1113,Web Development,781.74,2024-09-11,Open,10,2909,2025-07-29
91,17,UI/UX,747.80,2024-10-01,Cancelled,5,426,2025-10-10
92,129,Content,524.68,2025-12-24,Cancelled,8,830,2024-09-28
93,112,Cloud,1425.04,2025-08-30,Cancelled,13,2390,2024-12-11
94,312,UI/UX,1883.47,2025-08-05,Completed,9,1042,2026-01-09
95,36,UI/UX,1815.48,2024-08-25,Completed,7,2715,2025-01-22
96,865,Data & AI,371.41,2024-11-19,Completed,4,2579,2025-10-08
97,477,Marketing,1705.56,2024-12-14,Completed,13,549,2025-05-06
98,724,Content,1362.06,2025-06-06,Completed,8,825,2026-02-25
99,939,Cloud,906.37,2026-01-04,Cancelled,1,2699,2025-07-02
100,867,Content,1956.00,2025-04-02,Open,8,2953,2025-11-08
101,971,Cloud,2001.36,2025-09-30,Cancelled,11,2652,2025-03-15
102,950,Data & AI,1378.11,2025-09-26,Open,14,1185,2025-11-12
103,122,Web Development,2076.44,2024-07-14,Cancelled,15,2249,2024-09-29
104,1083,Data & AI,2802.42,2025-10-01,Completed,8,2882,2025-07-19
105,223,Cloud,2526.47,2026-02-12,Open,10,125,2025-10-10
106,604,Data & AI,1518.48,2025-07-04,Completed,15,2881,2024-11-18
107,733,Cloud,2586.14,2024-11-28,Open,9,801,2024-12-30
108,376,UI/UX,1650.50,2025-02-18,Completed,8,305,2025-12-24
109,1100,Data & AI,1805.19,2025-08-19,Open,3,31,2025-10-06
110,88,Data & AI,2553.18,2024-07-01,Cancelled,10,2529,2025-11-10
111,1140,Web Development,1883.01,2025-01-12,Open,15,2585,2024-12-12
112,291,Content,735.85,2024-08-27,Cancelled,2,2964,2026-02-10
113,243,Data & AI,2227.51,2024-06-21,Cancelled,6,297,2024-12-05
114,1127,Data & AI,752.13,2025-10-29,Completed,11,2105,2024-08-21
115,838,Web Development,545.97,2025-12-11,Cancelled,6,1864,2025-04-12
116,836,Data & AI,1648.45,2025-06-05,Completed,2,1878,2025-04-12
117,868,Content,1988.16,2024-10-19,Completed,11,2311,2026-02-15
118,306,Content,2387.81,2025-04-30,Cancelled,3,2171,2025-10-02
119,944,Marketing,160.11,2024-10-04,Open,3,1429,2025-04-13
120,631,Marketing,225.01,2025-02-13,Completed,11,2089,2024-10-14
121,149,Web Development,2750.98,2024-09-08,Cancelled,9,500,2025-02-04
122,356,Web Development,3037.34,2024-10-15,Cancelled,6,1115,2025-02-23
123,907,UI/UX,2486.47,2024-11-26,Cancelled,12,112,2025-02-23
124,371,Content,2332.20,2025-05-07,Completed,14,2227,2025-04-04
125,927,Cloud,1461.26,2024-08-13,Cancelled,2,2887,2026-01-06
126,154,Web Development,2676.02,2026-02-11,Completed,5,521,2024-11-14
127,1160,Data & AI,1198.28,2024-09-04,Completed,11,1066,2026-01-23
128,651,UI/UX,2758.55,2025-10-01,Open,10,1752,2026-01-16
129,385,Web Development,1869.05,2025-08-15,Cancelled,2,1453,2026-02-13
130,1158,Data & AI,2723.15,2025-08-05,Open,10,2033,2025-08-23
131,449,Cloud,2012.24,2024-05-05,Completed,4,784,2025-03-14
132,699,Cloud,1968.81,2024-12-22,Completed,1,1601,2025-10-08
133,606,Marketing,2355.66,2024-07-02,Open,1,2352,2024-11-11
134,865,Cloud,863.26,2024-10-14,Open,1,541,2026-02-19
135,82,Cloud,1601.42,2024-11-18,Open,11,2597,2025-02-05
136,465,Web Development,294.60,2025-03-24,Completed,2,1862,2024-11-18
137,97,Web Development,2957.70,2026-02-26,Completed,5,1158,2025-09-04
138,1048,Data & AI,328.37,2026-02-28,Completed,6,1922,2025-09-18
139,310,Cloud,1668.32,2025-02-02,Completed,10,687,2024-08-26
140,724,Web Development,330.94,2025-10-26,Cancelled,3,150,2025-12-14
141,1006,Web Development,2614.48,2024-08-01,Cancelled,14,688,2025-04-23
142,198,UI/UX,632.85,2025-02-04,Completed,1,2686,2025-01-19
143,257,Marketing,632.69,2024-07-26,Cancelled,3,2657,2025-10-16
144,581,UI/UX,639.06,2024-06-30,Open,15,1468,2025-12-12
145,18,Cloud,1837.81,2024-08-08,Completed,3,2830,2026-02-17
146,66,Web Development,1276.92,2024-07-11,Open,12,2063,2025-04-02
147,887,Content,1727.19,2024-11-05,Cancelled,4,1653,2025-08-12
148,926,Web Development,285.45,2025-12-11,Open,8,1759,2025-11-04
149,116,Data & AI,1955.96,2024-09-29,Cancelled,14,1297,2025-12-16
150,648,UI/UX,2032.38,2024-04-13,Completed,4,1136,2025-10-21
151,559,Web Development,1620.56,2024-12-04,Completed,13,151,2024-08-29
152,666,Content,3006.44,2024-11-17,Completed,8,997,2025-08-27
153,246,UI/UX,172.64,2025-05-09,Cancelled,8,763,2025-07-29
154,6,Data & AI,3061.21,2025-03-29,Open,15,373,2026-02-25
155,728,Web Development,2996.81,2024-08-16,Cancelled,1,475,2025-12-15
156,318,Content,1315.81,2025-08-25,Completed,11,2460,2025-04-22
157,846,Marketing,778.74,2024-11-17,Open,3,543,2025-03-20
158,687,Marketing,922.83,2024-12-17,Completed,12,35,2024-08-09
159,773,UI/UX,1272.72,2025-05-26,Open,7,245,2024-07-25
160,113,Content,1324.85,2024-07-16,Completed,13,1008,2025-04-18
161,573,UI/UX,1167.78,2024-11-30,Cancelled,8,2124,2025-01-25
162,905,Marketing,431.07,2024-09-06,Completed,3,2490,2025-06-30
163,911,Cloud,290.14,2025-10-07,Cancelled,3,555,2025-06-07
164,557,Data & AI,811.75,2026-01-06,Open,12,1615,2025-01-14
165,947,Marketing,283.27,2026-02-16,Cancelled,8,731,2025-02-01
166,324,Marketing,156.04,2024-10-03,Open,11,2686,2026-02-26
167,1096,Content,1753.68,2024-07-01,Cancelled,10,1351,2025-07-29
168,984,Content,2261.15,2025-09-22,Completed,9,737,2025-11-03
169,525,Cloud,925.02,2024-09-13,Open,13,1247,2025-12-02
170,202,Cloud,2627.61,2025-02-27,Completed,7,543,2024-11-29
171,676,UI/UX,2391.04,2025-02-16,Open,2,334,2025-12-20
172,540,UI/UX,751.84,2025-10-26,Cancelled,9,2801,2026-01-08
173,1168,UI/UX,1870.13,2024-12-16,Open,9,2397,2025-04-26
174,1120,Web Development,1093.48,2024-10-30,Completed,10,745,2025-08-25
175,871,Web Development,1441.06,2025-11-19,Open,11,1782,2025-11-10
176,173,Web Development,2836.64,2026-02-04,Open,12,2719,2025-02-14
177,319,Content,826.91,2024-04-26,Cancelled,15,1741,2025-10-04
178,898,Data & AI,1179.07,2024-09-17,Cancelled,8,172,2025-02-05
179,877,Cloud,2989.29,2024-04-23,Completed,7,1817,2024-09-23
180,1174,UI/UX,1246.64,2025-10-04,Completed,9,396,2025-06-06
181,773,Web Development,1936.04,2024-09-17,Open,5,1574,2024-12-31
182,326,Web Development,1383.46,2025-12-11,Completed,11,842,2025-04-27
183,298,Content,2766.40,2025-06-15,Open,5,2775,2025-09-16
184,1046,Content,426.58,2024-05-20,Open,1,2587,2025-12-07
185,831,UI/UX,1230.02,2025-05-16,Completed,8,756,2025-09-29
186,430,Cloud,1491.68,2024-09-02,Completed,5,2358,2025-10-19
187,1034,Data & AI,110.38,2025-08-15,Open,8,718,2025-02-15
188,373,UI/UX,1157.58,2025-03-11,Open,9,2471,2024-11-03
189,801,Cloud,2785.48,2025-03-25,Completed,3,1289,2026-01-01
190,542,UI/UX,2056.48,2024-05-27,Completed,14,213,2025-05-13
191,411,UI/UX,1992.80,2024-11-04,Cancelled,4,2572,2025-12-17
192,783,Content,2502.93,2025-06-01,Completed,7,2553,2025-07-09
193,666,Cloud,1131.86,2024-11-14,Completed,8,2325,2025-12-24
194,529,UI/UX,1726.26,2025-11-02,Cancelled,13,90,2025-02-10
195,1001,Data & AI,1133.95,2025-02-21,Cancelled,11,449,2024-11-11
196,38,Data & AI,2107.20,2024-08-14,Cancelled,13,942,2025-11-20
197,773,Cloud,2992.54,2024-09-06,Completed,9,1899,2025-11-03
198,633,Cloud,772.60,2025-08-16,Cancelled,9,2616,2025-12-07
199,1004,Marketing,1149.31,2025-11-06,Cancelled,11,2285,2025-06-17
200,519,Content,1057.56,2025-04-17,Completed,12,82,2024-11-12
201,1187,Data & AI,773.23,2025-09-20,Cancelled,8,1269,2024-12-17
202,714,UI/UX,329.65,2025-10-20,Cancelled,2,1631,2024-08-08
203,769,UI/UX,1141.76,2024-09-11,Completed,10,1618,2025-07-14
204,121,Marketing,1291.03,2024-08-07,Cancelled,5,2202,2024-11-17
205,760,Marketing,2034.46,2024-07-18,Completed,1,2109,2024-09-19
206,905,Data & AI,322.43,2025-08-07,Cancelled,5,99,2025-12-05
207,994,UI/UX,1757.87,2025-03-10,Open,10,360,2025-09-20
208,143,Marketing,842.12,2024-08-01,Completed,2,2467,2024-11-09
209,686,UI/UX,2099.44,2025-06-12,Completed,2,2218,2024-10-02
210,274,Cloud,1612.83,2026-03-08,Open,12,506,2025-02-28
211,759,Cloud,423.56,2025-01-27,Open,7,1679,2024-09-25
212,1195,Data & AI,2215.18,2025-06-12,Open,8,607,2025-04-17
213,4,Data & AI,2480.76,2025-08-22,Completed,1,2137,2026-02-17
214,605,Content,385.64,2024-05-27,Completed,7,140,2025-07-05
215,346,Web Development,904.06,2025-03-20,Cancelled,1,2608,2025-09-14
216,942,Marketing,885.97,2024-09-30,Cancelled,14,1363,2024-09-15
217,214,Cloud,1981.29,2024-10-09,Completed,7,2652,2024-11-27
218,335,Data & AI,261.32,2025-12-26,Completed,8,1832,2025-02-18
219,1137,UI/UX,1077.01,2025-06-09,Cancelled,15,406,2025-06-05
220,537,Marketing,1388.07,2025-11-03,Completed,13,877,2026-02-24
221,989,Cloud,1171.05,2024-09-13,Cancelled,15,1376,2025-04-17
222,673,Marketing,2414.67,2024-07-25,Cancelled,15,719,2025-05-05
223,370,Cloud,257.36,2025-09-24,Open,11,2491,2024-11-04
224,614,Marketing,1970.82,2024-07-14,Cancelled,13,1629,2025-03-16
225,590,Web Development,1153.49,2026-01-01,Open,7,1378,2025-04-13
226,176,Web Development,818.88,2025-11-03,Cancelled,8,2258,2025-10-28
227,216,Web Development,1134.12,2025-04-06,Completed,2,851,2026-03-10
228,6,UI/UX,1611.49,2026-01-12,Completed,13,1129,2025-09-03
229,1033,Content,2979.45,2024-05-12,Open,11,2594,2025-01-21
230,444,Cloud,2717.40,2024-09-30,Completed,3,2148,2025-09-28
231,898,Marketing,2655.28,2024-05-12,Completed,5,2688,2025-05-05
232,603,UI/UX,1733.38,2025-06-09,Open,14,2643,2025-05-05
233,573,Data & AI,1161.10,2024-11-29,Open,6,2404,2025-04-29
234,394,Cloud,149.23,2024-12-06,Cancelled,4,1354,2025-06-20
235,332,Marketing,809.54,2026-01-03,Cancelled,9,541,2024-12-27
236,1110,Web Development,1768.04,2025-02-20,Cancelled,4,103,2025-06-28
237,323,Cloud,1703.31,2025-11-14,Cancelled,6,1637,2024-12-09
238,1154,Marketing,1986.20,2024-11-17,Completed,1,1705,2025-02-21
239,809,Content,2549.17,2025-01-24,Completed,14,2306,2025-07-21
240,367,Marketing,452.82,2025-03-18,Cancelled,15,1363,2025-05-25
241,550,Cloud,2224.38,2025-06-06,Open,11,2438,2025-10-20
242,387,Cloud,1876.43,2024-10-08,Completed,8,480,2026-02-22
243,889,Marketing,2719.20,2025-02-26,Cancelled,12,2635,2025-02-09
244,801,Web Development,891.00,2025-10-08,Open,9,1547,2025-01-24
245,510,UI/UX,1427.45,2025-06-13,Open,4,1202,2025-02-07
246,639,Cloud,2538.11,2025-01-29,Cancelled,14,1154,2025-12-26
247,627,Data & AI,2674.57,2024-06-02,Open,6,1939,2025-07-02
248,888,Content,2031.43,2026-02-17,Completed,9,559,2026-03-07
249,770,UI/UX,2287.74,2025-03-28,Cancelled,12,299,2024-12-21
250,616,Data & AI,218.36,2025-04-16,Completed,12,848,2025-03-01
251,712,Cloud,690.51,2025-06-28,Cancelled,14,2730,2025-05-05
252,816,Marketing,679.98,2025-03-07,Completed,6,2460,2025-05-02
253,547,Web Development,2725.30,2024-09-24,Completed,12,1829,2025-06-23
254,384,Data & AI,2703.51,2024-08-03,Open,10,2959,2025-06-03
255,1001,Web Development,151.53,2024-06-17,Cancelled,13,46,2025-06-28
256,56,Web Development,2601.93,2024-04-24,Completed,11,1712,2025-01-22
257,709,Marketing,1956.05,2025-03-17,Completed,13,2019,2025-05-16
258,176,Data & AI,1962.66,2025-02-23,Open,9,2906,2025-10-30
259,4,Cloud,815.28,2025-03-05,Cancelled,15,992,2025-12-09
260,330,UI/UX,2998.24,2024-11-05,Completed,1,446,2025-09-29
261,635,Content,812.42,2024-11-20,Completed,11,1458,2024-08-13
262,588,Web Development,2077.46,2024-09-04,Completed,15,5,2025-09-23
263,415,UI/UX,895.10,2025-10-18,Open,4,1088,2025-09-28
264,107,Cloud,655.14,2024-04-12,Cancelled,13,1404,2025-09-23
265,188,Marketing,1117.07,2025-01-06,Cancelled,10,442,2025-11-06
266,410,Marketing,1345.41,2025-12-16,Completed,4,1341,2025-01-09
267,350,UI/UX,2175.72,2024-12-22,Completed,2,2979,2025-05-19
268,703,Marketing,2386.32,2024-11-28,Cancelled,6,1466,2025-01-23
269,1177,Cloud,479.70,2025-01-16,Open,9,1240,2025-06-21
270,198,Data & AI,102.00,2025-08-01,Open,15,1867,2025-09-05
271,707,UI/UX,2179.34,2024-10-10,Completed,9,1295,2024-11-15
272,1072,Cloud,1130.71,2024-05-18,Completed,2,2674,2024-10-25
273,704,Content,1136.93,2024-10-09,Open,10,1729,2025-11-28
274,484,Web Development,2204.32,2024-04-28,Cancelled,6,1863,2025-02-28
275,822,Content,337.30,2024-09-17,Open,9,1956,2025-10-24
276,647,Data & AI,1147.47,2024-06-26,Cancelled,15,1626,2025-04-09
277,934,Cloud,1906.91,2024-04-18,Cancelled,6,1550,2024-10-03
278,248,Marketing,1795.11,2026-03-01,Completed,2,1382,2025-03-14
279,1021,Data & AI,2319.36,2025-10-05,Completed,3,2765,2024-10-28
280,144,Data & AI,128.42,2024-10-27,Cancelled,12,1227,2025-01-04
281,367,Data & AI,3086.30,2024-07-28,Completed,15,2487,2025-06-06
282,935,Marketing,1715.73,2025-10-02,Completed,11,1320,2025-08-13
283,925,Cloud,2589.61,2025-02-16,Completed,1,1318,2025-10-31
284,805,Cloud,143.16,2024-09-12,Completed,5,2125,2025-01-25
285,842,Marketing,961.56,2024-08-29,Open,7,18,2025-05-28
286,1033,Data & AI,1353.02,2025-07-18,Cancelled,11,2993,2025-07-11
287,482,UI/UX,2689.46,2024-11-18,Completed,11,607,2024-12-21
288,466,Marketing,381.64,2024-08-14,Open,7,2677,2025-07-04
289,466,Content,1245.71,2024-11-01,Cancelled,2,2670,2025-02-01
290,1060,Marketing,2549.18,2026-01-02,Completed,1,2445,2025-12-12
291,1099,Data & AI,1483.38,2026-02-08,Completed,6,2228,2025-02-16
292,1041,UI/UX,2959.35,2025-01-18,Cancelled,3,2606,2024-10-02
293,572,Data & AI,1753.85,2025-02-07,Completed,7,353,2025-08-17
294,180,Marketing,2860.21,2024-04-24,Cancelled,9,2715,2025-04-09
295,1092,Content,2578.38,2024-05-26,Cancelled,12,2751,2025-03-06
296,531,Content,2432.24,2025-11-10,Completed,12,2953,2024-08-24
297,1104,UI/UX,1389.34,2024-07-03,Cancelled,8,1241,2025-11-27
298,1174,Cloud,2846.25,2024-06-14,Cancelled,12,188,2026-01-31
299,677,Content,304.76,2024-07-24,Cancelled,9,1421,2025-04-01
300,300,Data & AI,1297.36,2024-12-21,Open,2,2684,2025-02-09
301,106,Web Development,2706.49,2024-05-17,Open,9,1914,2025-07-21
302,459,Web Development,1638.53,2025-07-18,Cancelled,12,1883,2024-10-05
303,847,Content,2221.48,2025-11-18,Open,5,2981,2024-11-05
304,274,Cloud,1982.78,2025-06-27,Cancelled,9,395,2024-08-06
305,1053,Content,1822.77,2024-04-30,Cancelled,10,1645,2026-03-05
306,994,Cloud,257.72,2026-01-27,Completed,8,2224,2025-05-22
307,618,Content,1335.96,2024-05-15,Open,9,1864,2025-01-31
308,112,Data & AI,458.88,2026-02-14,Completed,9,2721,2024-08-17
309,348,Cloud,1889.01,2025-04-27,Completed,15,310,2025-08-28
310,1038,Marketing,1490.41,2024-10-02,Completed,14,2928,2025-02-09
311,502,Cloud,2034.50,2025-08-29,Cancelled,15,2294,2025-09-11
312,476,Content,2277.58,2024-04-12,Cancelled,6,2401,2025-09-04
313,614,Data & AI,2400.07,2025-08-14,Completed,13,1403,2026-02-03
314,420,Web Development,1843.81,2025-09-27,Cancelled,1,1498,2025-10-31
315,609,Data & AI,2449.13,2024-11-17,Completed,9,2445,2025-05-09
316,172,UI/UX,1406.05,2025-05-04,Cancelled,4,1262,2025-04-06
317,324,Marketing,2830.40,2025-02-11,Cancelled,2,1809,2026-02-24
318,2,Data & AI,1148.76,2025-07-13,Completed,1,2492,2024-11-17
319,700,Web Development,1814.61,2024-06-05,Cancelled,10,47,2025-01-20
320,1021,Data & AI,361.44,2024-04-21,Completed,12,1651,2025-08-28
321,45,Content,2805.73,2025-11-22,Open,8,1479,2025-09-16
322,903,Data & AI,2864.97,2025-03-06,Completed,5,395,2026-03-08
323,868,Marketing,595.25,2024-12-29,Cancelled,9,1042,2025-09-30
324,94,Content,1403.98,2025-05-22,Completed,11,1421,2024-09-15
325,623,Marketing,1783.42,2025-05-01,Cancelled,1,2647,2024-10-05
326,363,Marketing,658.99,2024-05-12,Open,6,929,2025-08-09
327,1041,Marketing,2175.36,2025-09-11,Completed,4,206,2025-07-14
328,153,Cloud,2117.85,2024-11-29,Open,13,365,2026-01-03
329,743,UI/UX,2997.88,2025-03-13,Completed,7,1669,2025-05-11
330,456,Cloud,1213.25,2024-10-20,Open,8,177,2024-09-17
331,942,Cloud,856.73,2026-02-14,Completed,7,220,2025-01-03
332,440,Content,1763.13,2025-12-13,Open,5,856,2025-11-05
333,781,Cloud,216.39,2024-11-07,Completed,6,577,2025-04-10
334,888,Content,2361.21,2025-08-20,Completed,12,1781,2025-05-29
335,287,Data & AI,2059.17,2025-11-29,Open,1,2477,2025-12-02
336,937,Content,1951.89,2025-02-19,Cancelled,13,2482,2025-04-18
337,1022,Content,803.67,2025-01-15,Completed,1,1363,2025-11-14
338,766,UI/UX,518.09,2025-10-21,Completed,13,1103,2024-11-29
339,219,Content,1974.55,2025-01-27,Cancelled,15,708,2025-03-04
340,266,UI/UX,2112.03,2026-01-01,Open,4,395,2024-11-17
341,1182,Content,539.69,2025-12-31,Completed,6,580,2026-01-14
342,422,Data & AI,1778.88,2025-09-29,Open,9,1785,2025-09-06
343,115,Web Development,2710.55,2025-07-18,Completed,8,1922,2025-08-15
344,650,Cloud,226.34,2025-03-03,Open,9,1847,2024-11-21
345,475,UI/UX,582.42,2025-01-25,Cancelled,9,2697,2025-03-17
346,1105,Cloud,515.84,2024-09-14,Completed,4,2747,2026-01-21
347,496,Content,2646.75,2024-09-14,Open,1,470,2024-10-16
348,923,Marketing,345.86,2025-11-23,Open,3,2702,2025-03-26
349,362,Cloud,1409.48,2025-07-22,Open,1,162,2025-06-17
350,240,Cloud,2073.22,2024-08-02,Open,2,18,2025-09-07
351,1014,UI/UX,1630.87,2024-11-18,Open,8,2352,2025-01-24
352,34,Data & AI,3097.83,2026-01-28,Open,6,1478,2025-08-28
353,271,Marketing,1831.33,2024-05-16,Open,4,469,2025-11-21
354,342,Web Development,2915.95,2024-05-18,Cancelled,12,2907,2025-08-01
355,411,Content,2694.47,2024-09-20,Open,7,1549,2025-07-25
356,35,Content,1634.01,2024-07-21,Cancelled,3,584,2024-08-27
357,97,UI/UX,994.17,2025-03-06,Cancelled,2,1152,2025-06-16
358,233,Data & AI,468.09,2024-07-18,Cancelled,4,409,2024-10-21
359,940,Data & AI,850.63,2026-01-18,Completed,6,1005,2025-04-14
360,988,UI/UX,851.73,2024-09-25,Cancelled,14,1109,2026-03-08
361,128,Web Development,1228.78,2025-10-25,Completed,7,256,2025-09-27
362,313,Marketing,775.60,2024-06-01,Cancelled,11,486,2025-03-12
363,194,Web Development,640.41,2024-08-28,Cancelled,12,2652,2025-12-26
364,552,Content,2854.10,2025-10-31,Completed,10,2769,2025-01-11
365,950,UI/UX,1753.50,2025-08-12,Completed,12,2805,2024-10-30
366,849,Marketing,123.24,2025-05-30,Open,15,253,2025-07-13
367,1163,UI/UX,1661.42,2025-11-09,Cancelled,2,2524,2024-09-03
368,482,Cloud,2294.05,2025-11-18,Cancelled,8,237,2025-09-03
369,370,UI/UX,611.92,2025-03-23,Cancelled,2,1649,2025-10-15
370,956,Data & AI,2976.68,2025-06-19,Cancelled,11,1290,2025-01-14
371,761,Data & AI,1160.55,2025-10-05,Completed,8,520,2026-01-31
372,964,Cloud,2957.16,2025-12-04,Open,10,2563,2025-11-04
373,943,UI/UX,1332.58,2024-04-13,Open,6,544,2025-03-06
374,987,Cloud,588.76,2025-05-14,Open,9,1965,2025-12-21
375,271,UI/UX,2942.73,2024-07-26,Cancelled,5,2009,2025-01-01
376,8,Marketing,694.23,2025-03-22,Cancelled,7,1394,2026-01-11
